,station_complex_id,location,Latitude,Longitude,Nearest_Stop,borough,routes,ridership,Connections
302,R231,"(40.74608, -73.98208)",40.74608,-73.98208,"(403, '33 St')",M,6,4956885,"[(610, 'Grand Central-42 St'), (404, '28 St')]"
303,R238,"(40.75178, -73.97684)",40.75178,-73.97684,"(610, 'Grand Central-42 St')",M,"5,S,4,7,6",24057336,"[(612, '51 St'), (403, '33 St'), (464, 'Vernon Blvd-Jackson Av'), (609, '5 Av')]"
304,R246,"(40.76814, -73.96387)",40.76814,-73.96387,"(399, '68 St-Hunter College')",M,6,4339088,"[(398, '77 St'), (613, '59 St')]"
305,R247,"(40.77362, -73.95988)",40.77362,-73.95988,"(398, '77 St')",M,6,5416181,"[(397, '86 St'), (399, '68 St-Hunter College')]"
306,R249,"(40.77949, -73.95559)",40.77949,-73.95559,"(397, '86 St')",M,"5,4,6",8932145,"[(396, '96 St'), (398, '77 St')]"
308,R252,"(40.7906, -73.94748)",40.7906,-73.94748,"(395, '103 St')",M,6,2502815,"[(394, '110 St'), (396, '96 St')]"
309,R254,"(40.79502, -73.94425)",40.79502,-73.94425,"(394, '110 St')",M,6,2066455,"[(393, '116 St'), (395, '103 St')]"
310,R256,"(40.79863, -73.94162)",40.79863,-73.94162,"(393, '116 St')",M,6,2805735,"[(392, '125 St'), (394, '110 St')]"
311,R258,"(40.80414, -73.93759)",40.80414,-73.93759,"(392, '125 St')",M,"5,4,6",4571362,"[(391, '138 St-Grand Concourse'), (393, '116 St')]"
312,R259,"(40.81322, -73.92985)",40.81322,-73.92985,"(391, '138 St-Grand Concourse')",BX,"5,4",768544,"[(603, '149 St-Grand Concourse'), (392, '125 St')]"
313,R261,"(40.81837, -73.92735)",40.81837,-73.92735,"(603, '149 St-Grand Concourse')",BX,"2,5,4",2055967,"[(604, '161 St-Yankee Stadium'), (391, '138 St-Grand Concourse'), (434, '3 Av-149 St')]"
314,R283,"(40.83554, -73.9214)",40.83554,-73.9214,"(388, '167 St')",BX,4,1858335,"[(387, '170 St'), (604, '161 St-Yankee Stadium')]"
315,R284,"(40.84008, -73.91779)",40.84008,-73.91779,"(387, '170 St')",BX,4,1514027,"[(386, 'Mt Eden Av'), (388, '167 St')]"
316,R285,"(40.84443, -73.91469)",40.84443,-73.91469,"(386, 'Mt Eden Av')",BX,4,991103,"[(385, '176 St'), (387, '170 St')]"
317,R286,"(40.84848, -73.9118)",40.84848,-73.9118,"(385, '176 St')",BX,4,1057768,"[(384, 'Burnside Av'), (386, 'Mt Eden Av')]"
318,R287,"(40.85345, -73.90768)",40.85345,-73.90768,"(384, 'Burnside Av')",BX,4,1836485,"[(383, '183 St'), (385, '176 St')]"
319,R288,"(40.85841, -73.90388)",40.85841,-73.90388,"(383, '183 St')",BX,4,1192040,"[(382, 'Fordham Rd'), (384, 'Burnside Av')]"
320,R289,"(40.8628, -73.90103)",40.8628,-73.90103,"(382, 'Fordham Rd')",BX,4,2085841,"[(381, 'Kingsbridge Rd'), (383, '183 St')]"
321,R290,"(40.86776, -73.89717)",40.86776,-73.89717,"(381, 'Kingsbridge Rd')",BX,4,1809873,"[(380, 'Bedford Park Blvd-Lehman College'), (382, 'Fordham Rd')]"
322,R291,"(40.87341, -73.89006)",40.87341,-73.89006,"(380, 'Bedford Park Blvd-Lehman College')",BX,4,1113463,"[(379, 'Mosholu Pkwy'), (381, 'Kingsbridge Rd')]"
323,R293,"(40.87975, -73.88466)",40.87975,-73.88466,"(379, 'Mosholu Pkwy')",BX,4,1672408,"[(378, 'Woodlawn'), (380, 'Bedford Park Blvd-Lehman College')]"
325,R301,"(40.79908, -73.95182)",40.79908,-73.95182,"(441, 'Central Park North (110 St)')",M,"3,2",1498038,"[(440, '116 St')]"
