,station_complex_id,borough,routes,latitude,longitude,date,ridership
4226,R402,BX,6,40.80756759643555,-73.91924285888672,2022-05-31,101386
4227,R402,BX,6,40.80756759643555,-73.91924285888672,2022-06-30,91946
4228,R402,BX,6,40.80756759643555,-73.91924285888672,2022-07-31,80285
4229,R402,BX,6,40.80756759643555,-73.91924285888672,2022-08-31,85180
4230,R402,BX,6,40.80756759643555,-73.91924285888672,2022-09-30,95020
4231,R402,BX,6,40.80756759643555,-73.91924285888672,2022-10-31,88226
4232,R402,BX,6,40.80756759643555,-73.91924285888672,2022-11-30,91821
4233,R402,BX,6,40.80756759643555,-73.91924285888672,2022-12-31,93753
4234,R402,BX,6,40.80756759643555,-73.91924285888672,2023-01-31,93152
4235,R404,BX,6,40.80536651611328,-73.9140396118164,2022-02-28,40488
4236,R404,BX,6,40.80536651611328,-73.9140396118164,2022-03-31,52407
4237,R404,BX,6,40.80536651611328,-73.9140396118164,2022-04-30,48741
4238,R404,BX,6,40.80536651611328,-73.9140396118164,2022-05-31,52981
4239,R404,BX,6,40.80536651611328,-73.9140396118164,2022-06-30,50323
4240,R404,BX,6,40.80536651611328,-73.9140396118164,2022-07-31,44904
4241,R404,BX,6,40.80536651611328,-73.9140396118164,2022-08-31,45914
4242,R404,BX,6,40.80536651611328,-73.9140396118164,2022-09-30,48623
4243,R404,BX,6,40.80536651611328,-73.9140396118164,2022-10-31,45001
4244,R404,BX,6,40.80536651611328,-73.9140396118164,2022-11-30,43410
4245,R404,BX,6,40.80536651611328,-73.9140396118164,2022-12-31,41848
4246,R404,BX,6,40.80536651611328,-73.9140396118164,2023-01-31,40567
4247,R406,BX,6,40.808719635009766,-73.90765380859375,2022-02-28,17821
4248,R406,BX,6,40.808719635009766,-73.90765380859375,2022-03-31,24268
4249,R406,BX,6,40.808719635009766,-73.90765380859375,2022-04-30,19914
4250,R406,BX,6,40.808719635009766,-73.90765380859375,2022-05-31,21877
4251,R406,BX,6,40.808719635009766,-73.90765380859375,2022-06-30,21005
4252,R406,BX,6,40.808719635009766,-73.90765380859375,2022-07-31,16950
4253,R406,BX,6,40.808719635009766,-73.90765380859375,2022-08-31,17383
4254,R406,BX,6,40.808719635009766,-73.90765380859375,2022-09-30,23352
4255,R406,BX,6,40.808719635009766,-73.90765380859375,2022-10-31,28968
4256,R406,BX,6,40.808719635009766,-73.90765380859375,2022-11-30,22896
4257,R406,BX,6,40.808719635009766,-73.90765380859375,2022-12-31,21364
4258,R406,BX,6,40.808719635009766,-73.90765380859375,2023-01-31,24051
4259,R408,BX,6,40.81211853027344,-73.90409851074219,2022-02-28,69177
4260,R408,BX,6,40.81211853027344,-73.90409851074219,2022-03-31,87674
4261,R408,BX,6,40.81211853027344,-73.90409851074219,2022-04-30,76894
4262,R408,BX,6,40.81211853027344,-73.90409851074219,2022-05-31,85963
4263,R408,BX,6,40.81211853027344,-73.90409851074219,2022-06-30,80217
4264,R408,BX,6,40.81211853027344,-73.90409851074219,2022-07-31,70456
4265,R408,BX,6,40.81211853027344,-73.90409851074219,2022-08-31,74141
4266,R408,BX,6,40.81211853027344,-73.90409851074219,2022-09-30,89334
4267,R408,BX,6,40.81211853027344,-73.90409851074219,2022-10-31,58359
4268,R408,BX,6,40.81211853027344,-73.90409851074219,2022-11-30,77701
4269,R408,BX,6,40.81211853027344,-73.90409851074219,2022-12-31,79150
4270,R408,BX,6,40.81211853027344,-73.90409851074219,2023-01-31,80508
4271,R410,BX,6,40.816104888916016,-73.89643859863281,2022-02-28,49881
4272,R410,BX,6,40.816104888916016,-73.89643859863281,2022-03-31,62683
4273,R410,BX,6,40.816104888916016,-73.89643859863281,2022-04-30,54166
4274,R410,BX,6,40.816104888916016,-73.89643859863281,2022-05-31,60160
4275,R410,BX,6,40.816104888916016,-73.89643859863281,2022-06-30,56050
4276,R410,BX,6,40.816104888916016,-73.89643859863281,2022-07-31,47783
4277,R410,BX,6,40.816104888916016,-73.89643859863281,2022-08-31,52521
4278,R410,BX,6,40.816104888916016,-73.89643859863281,2022-09-30,64845
4279,R410,BX,6,40.816104888916016,-73.89643859863281,2022-10-31,63262
4280,R410,BX,6,40.816104888916016,-73.89643859863281,2022-11-30,57377
4281,R410,BX,6,40.816104888916016,-73.89643859863281,2022-12-31,57292
4282,R410,BX,6,40.816104888916016,-73.89643859863281,2023-01-31,58320
4283,R412,BX,6,40.82094955444336,-73.89054870605469,2022-02-28,140720
4284,R412,BX,6,40.82094955444336,-73.89054870605469,2022-03-31,181302
4285,R412,BX,6,40.82094955444336,-73.89054870605469,2022-04-30,164686
4286,R412,BX,6,40.82094955444336,-73.89054870605469,2022-05-31,174409
4287,R412,BX,6,40.82094955444336,-73.89054870605469,2022-06-30,171798
4288,R412,BX,6,40.82094955444336,-73.89054870605469,2022-07-31,152014
4289,R412,BX,6,40.82094955444336,-73.89054870605469,2022-08-31,157600
4290,R412,BX,6,40.82094955444336,-73.89054870605469,2022-09-30,180304
